,DEPARTAMENTO,MUNICIPIO,Total_100 y más,Total Hombres,Total Mujeres,Total,Total_0_4,Total_5_14,Total_15_44,Total_45_64,Total_65_84,Total_85_99
113633,Nariño,Ipiales,45,55626,60210,115836,8842,17350,54713,24284,9340,1262
113786,Nariño,La Cruz,4,9112,9531,18643,1093,2330,8486,4307,2148,275
113939,Nariño,La Florida,5,4890,5021,9911,548,1179,4291,2397,1276,215
114092,Nariño,La Llanada,0,3172,3298,6470,572,991,3036,1261,522,88
114245,Nariño,La Tola,0,3720,3740,7460,904,1726,3174,1103,493,60
114398,Nariño,La Unión,31,15736,16015,31751,2032,4141,14614,7175,3232,526
114551,Nariño,Leiva,2,4957,4614,9571,623,1626,4439,1884,869,128
114704,Nariño,Linares,2,5010,5002,10012,478,1191,4391,2295,1375,280
114857,Nariño,Los Andes,4,4657,4611,9268,655,1373,4258,1888,924,166
115010,Nariño,Magüí,10,12988,12555,25543,3656,6297,11605,2865,923,187
115163,Nariño,Mallama,2,4457,4489,8946,637,1321,4139,1778,894,175
115316,Nariño,Mosquera,7,6360,6222,12582,1068,2381,6454,1851,692,129
115469,Nariño,Nariño,0,2156,2190,4346,286,568,2050,971,428,43
115622,Nariño,Olaya Herrera,13,12544,12666,25210,3149,5865,11509,3292,1204,178
115775,Nariño,Ospina,2,3437,3556,6993,427,884,3136,1653,774,117
115928,Nariño,Francisco Pizarro,3,7163,6995,14158,1496,2988,6137,2499,884,151
116081,Nariño,Policarpa,3,4874,4905,9779,592,1508,4847,1894,821,114
116234,Nariño,Potosí,2,4929,5129,10058,824,1413,4419,2138,1097,165
116387,Nariño,Providencia,2,2681,2872,5553,409,806,2649,1029,575,83
116540,Nariño,Puerres,4,4093,4272,8365,586,1168,3556,1807,1049,195
116693,Nariño,Pupiales,7,8429,8790,17219,1095,2210,7588,4110,1901,308
116846,Nariño,Ricaurte,5,10160,9897,20057,2295,4300,9505,2568,1195,189
116999,Nariño,Roberto Payán,2,6368,6326,12694,1539,2939,5761,1752,617,84
117152,Nariño,Samaniego,10,13680,14062,27742,1605,3639,13123,5981,2884,500
117305,Nariño,Sandoná,5,9763,10007,19770,1025,2432,8661,4843,2352,452
117458,Nariño,San Bernardo,2,4667,4504,9171,627,1231,4378,1875,923,135
117611,Nariño,San Lorenzo,5,9388,9011,18399,1065,2478,8347,4042,2119,343
117764,Nariño,San Pablo,9,7132,7661,14793,850,1885,6411,3420,1905,313
117917,Nariño,San Pedro de Cartago,2,3424,3396,6820,441,984,3293,1268,709,123
118070,Nariño,Santa Bárbara,6,6684,6558,13242,1612,2922,6053,1874,647,128
118223,Nariño,Santacruz,2,5574,5500,11074,803,1666,5458,1969,1007,169
118376,Nariño,Sapuyes,2,3596,3636,7232,405,945,3320,1664,779,117
118529,Nariño,Taminango,10,8883,8995,17878,870,2186,8148,4232,2056,376
118682,Nariño,Tangua,5,6560,6761,13321,809,1674,6037,3033,1558,205
118835,Nariño,San Andrés de Tumaco,112,126424,130628,257052,25786,50515,121429,41893,15167,2150
118988,Nariño,Túquerres,10,21844,22731,44575,2816,6011,21219,9620,4386,513
119141,Nariño,Yacuanquer,4,5397,5558,10955,672,1462,5159,2274,1229,155
119294,Norte de Santander,San José de Cúcuta,314,376753,400353,777106,61616,121899,371900,157284,57372,6721
119447,Norte de Santander,Ábrego,8,17041,16890,33931,3415,6535,15440,6080,2170,283
119600,Norte de Santander,Arboledas,0,5399,4657,10056,845,1784,4237,2154,891,145
119753,Norte de Santander,Bochalema,0,4602,4243,8845,694,1432,3856,1877,841,145
119906,Norte de Santander,Bucarasica,1,3504,3110,6614,790,1395,2920,1039,404,65
120059,Norte de Santander,Cácota,0,1565,1349,2914,268,486,1277,585,260,38
120212,Norte de Santander,Cáchira,0,5871,5327,11198,962,2162,4414,2390,1105,165
120365,Norte de Santander,Chinácota,5,9206,9652,18858,1453,3009,8096,4143,1871,281
120518,Norte de Santander,Chitagá,2,6446,5948,12394,1132,2246,5640,2298,941,135
120671,Norte de Santander,Convención,5,10058,9589,19647,2170,4103,8904,3106,1178,181
120824,Norte de Santander,Cucutilla,0,4405,4070,8475,631,1429,3592,1824,855,144
120977,Norte de Santander,Durania,0,2483,2329,4812,366,741,2008,1121,500,76
121130,Norte de Santander,El Carmen,0,7294,6749,14043,1595,2900,6035,2351,1022,140
121283,Norte de Santander,El Tarra,5,11519,10407,21926,3006,5080,10649,2404,669,113
121436,Norte de Santander,El Zulia,5,14963,14429,29392,2863,5411,14103,5101,1702,207
121589,Norte de Santander,Gramalote,0,4269,3425,7694,478,1107,3526,1752,751,80
121742,Norte de Santander,Hacarí,0,5508,5095,10603,1405,2494,4930,1304,421,49
121895,Norte de Santander,Herrán,1,3691,3635,7326,634,1092,3151,1645,705,98
122048,Norte de Santander,Labateca,0,3394,3180,6574,543,1126,2755,1359,702,89
122201,Norte de Santander,La Esperanza,0,6416,5957,12373,1470,2687,5453,1989,685,89
122354,Norte de Santander,La Playa,0,4158,3845,8003,804,1569,3508,1466,581,75
122507,Norte de Santander,Los Patios,8,46519,50701,97220,7486,15215,46474,20512,6779,746
122660,Norte de Santander,Lourdes,0,2201,1990,4191,412,777,1832,816,314,40
122813,Norte de Santander,Mutiscua,0,2341,2189,4530,389,743,2113,866,369,50
122966,Norte de Santander,Ocaña,50,62074,67234,129308,10281,20932,61072,25472,10183,1318
123119,Norte de Santander,Pamplona,22,25852,28057,53909,3416,7723,26325,11089,4675,659
123272,Norte de Santander,Pamplonita,0,3030,2763,5793,489,993,2428,1183,614,86
123425,Norte de Santander,Puerto Santander,2,4591,4671,9262,983,1830,4397,1464,523,63
123578,Norte de Santander,Ragonvalia,0,3389,2950,6339,485,980,2761,1357,669,87
123731,Norte de Santander,Salazar,2,5615,5113,10728,839,1940,4558,2181,1020,188
123884,Norte de Santander,San Calixto,0,6442,5732,12174,1528,2707,5648,1667,549,75
124037,Norte de Santander,San Cayetano,0,3934,3856,7790,761,1400,3609,1448,501,71
124190,Norte de Santander,Santiago,0,1878,1789,3667,289,619,1693,712,320,34
124343,Norte de Santander,Sardinata,5,14022,12782,26804,2917,5454,12440,4245,1540,203
124496,Norte de Santander,Silos,0,3429,3117,6546,659,1143,3025,1151,504,64
124649,Norte de Santander,Teorama,3,9043,8627,17670,2276,3952,8250,2298,775,116
124802,Norte de Santander,Tibú,7,30863,27858,58721,7426,12678,28570,7769,2064,207
124955,Norte de Santander,Toledo,4,8431,7894,16325,1383,2908,6799,3504,1506,221
125108,Norte de Santander,Villa Caro,0,2676,2627,5303,568,1083,2284,931,378,59
125261,Norte de Santander,Villa del Rosario,68,53897,57357,111254,9214,17918,54195,21743,7279,837
125414,Quindio,Armenia,187,143543,161221,304764,17400,35176,133952,76573,37111,4365
125567,Quindio,Buenavista,0,1662,1467,3129,238,476,1262,788,343,22
125720,Quindio,Calarcá,37,36788,38102,74890,4620,9442,32468,18303,8950,1070
125873,Quindio,Circasia,19,13986,15074,29060,1819,3628,12267,7357,3574,396
126026,Quindio,Córdoba,3,3052,2687,5739,446,821,2318,1504,576,71
126179,Quindio,Filandia,3,6058,6201,12259,698,1566,4980,3282,1574,156
126332,Quindio,Génova,3,3984,3463,7447,489,1001,2935,1957,930,132
126485,Quindio,La Tebaida,13,17040,17763,34803,2325,4833,15835,7780,3604,413
126638,Quindio,Montenegro,7,18504,19014,37518,2539,5039,16524,8797,4191,421
126791,Quindio,Pijao,0,2654,2467,5121,357,725,1985,1406,588,60
126944,Quindio,Quimbaya,10,15104,16038,31142,1990,3927,13261,7650,3912,392
127097,Quindio,Salento,5,4902,4627,9529,608,1209,3966,2479,1138,124
127250,Risaralda,Pereira,320,224099,252928,477027,28728,58690,213503,115141,54440,6205
127403,Risaralda,Apía,4,6283,5938,12221,776,1780,4897,3126,1494,144
127556,Risaralda,Balboa,2,3326,2971,6297,414,929,2485,1694,708,65
127709,Risaralda,Belén de Umbría,17,12482,12226,24708,1710,3772,10081,6069,2787,272
127862,Risaralda,Dosquebradas,89,104514,119268,223782,13901,28156,101538,53610,23980,2508
128015,Risaralda,Guática,2,6199,5911,12110,771,1806,4920,3099,1387,125
128168,Risaralda,La Celia,49,3922,3504,7426,488,1033,2886,1980,893,97
128321,Risaralda,La Virginia,6,13152,14829,27981,1783,3877,12592,6463,2951,309
128474,Risaralda,Marsella,7,8376,8340,16716,1170,2513,6595,3969,2201,261
128627,Risaralda,Mistrató,5,8744,8513,17257,2468,4070,6925,2559,1118,112
128780,Risaralda,Pueblo Rico,3,8336,8114,16450,2960,4303,6195,2055,842,92
128933,Risaralda,Quinchía,6,13848,13426,27274,2197,4476,11142,6049,3056,348
129086,Risaralda,Santa Rosa de Cabal,25,38873,40499,79372,4719,10326,34479,19326,9374,1123
129239,Risaralda,Santuario,7,6360,6074,12434,764,1862,4896,3179,1560,166
129392,Santander,Bucaramanga,415,288704,318724,607428,38794,78615,286651,138271,57031,7651
129545,Santander,Aguada,0,961,906,1867,115,236,775,448,250,43
129698,Santander,Albania,0,2263,2073,4336,262,641,1536,1094,704,99
129851,Santander,Aratoca,1,4334,4153,8487,606,1349,3732,1886,816,97
130004,Santander,Barbosa,8,15827,16826,32653,2368,5115,14672,7143,2954,393
130157,Santander,Barichara,2,5274,5541,10815,789,1593,4176,2675,1368,212
130310,Santander,Barrancabermeja,36,102574,108155,210729,18278,34863,97795,43117,14983,1657
130463,Santander,Betulia,2,3222,2839,6061,544,1090,2590,1262,497,76
130616,Santander,Bolívar,6,5599,5381,10980,741,1861,4423,2456,1320,173
130769,Santander,Cabrera,0,1003,1018,2021,129,317,768,491,281,35
130922,Santander,California,0,1144,1088,2232,242,372,1026,417,154,21
131075,Santander,Capitanejo,2,2754,2725,5479,353,827,2103,1279,774,141
131228,Santander,Carcasí,1,2289,1970,4259,328,763,1787,874,459,47
131381,Santander,Cepitá,0,1025,1000,2025,145,332,887,428,207,26
131534,Santander,Cerrito,3,3644,3289,6933,578,1148,3161,1356,596,91
131687,Santander,Charalá,4,6062,6210,12272,912,1923,4817,2968,1452,196
131840,Santander,Charta,0,1494,1394,2888,221,393,1113,727,380,54
131993,Santander,Chimá,0,1490,1376,2866,210,466,1097,727,329,37
132146,Santander,Chipatá,2,2661,2432,5093,246,703,1942,1299,779,122
132299,Santander,Cimitarra,12,17672,16731,34403,2805,6091,16644,6316,2279,256
132452,Santander,Concepción,2,2927,2830,5757,434,934,2353,1267,665,102
132605,Santander,Confines,0,1752,1542,3294,330,554,1375,729,274,32
132758,Santander,Contratación,3,1812,1887,3699,216,503,1271,968,636,102
132911,Santander,Coromoro,1,2667,2357,5024,431,846,1994,1183,507,62
133064,Santander,Curití,10,6623,6660,13283,1028,2117,5578,3030,1353,167
133217,Santander,El Carmen de Chucurí,14,11268,10552,21820,1845,4021,10085,4299,1413,143
133370,Santander,El Guacamayo,0,1037,1048,2085,133,335,802,512,275,28
133523,Santander,El Peñón,2,2929,2578,5507,465,1123,2468,973,420,56
133676,Santander,El Playón,3,7205,6833,14038,1199,2545,6216,2725,1176,174
133829,Santander,Encino,0,1346,1237,2583,232,479,1070,561,214,27
133982,Santander,Enciso,0,1764,1681,3445,233,505,1401,846,409,51
134135,Santander,Florián,2,2882,2707,5589,374,1001,2267,1274,570,101
134288,Santander,Floridablanca,99,145563,162333,307896,20344,41274,144884,70544,27633,3118
134441,Santander,Galán,0,1484,1407,2891,239,452,1112,687,349,52
134594,Santander,Gámbita,0,2091,1922,4013,354,722,1557,889,436,55
134747,Santander,Girón,55,84290,87614,171904,13014,25766,83907,35589,12216,1357
134900,Santander,Guaca,1,3127,2782,5909,449,980,2518,1266,626,69
135053,Santander,Guadalupe,0,2241,2227,4468,259,709,1651,1140,616,93
135206,Santander,Guapotá,0,1248,1165,2413,169,389,959,614,255,27
135359,Santander,Guavatá,0,2111,2080,4191,189,530,1436,1221,707,108
135512,Santander,Güepsa,0,2679,2630,5309,364,781,2253,1271,537,103
135665,Santander,Hato,0,1273,1097,2370,183,386,1001,553,225,22
135818,Santander,Jesús María,0,1699,1640,3339,187,509,1209,891,475,68
135971,Santander,Jordán,0,680,656,1336,120,228,593,269,116,10
136124,Santander,La Belleza,2,3177,3001,6178,432,1033,2539,1435,641,96
136277,Santander,Landázuri,4,5445,5143,10588,793,1834,4399,2362,1038,158
136430,Santander,La Paz,2,2582,2335,4917,270,733,1793,1301,707,111
136583,Santander,Lebrija,26,22533,21636,44169,3545,7202,21463,8717,2848,368
136736,Santander,Los Santos,4,7654,7133,14787,1246,2574,6713,2961,1149,140
136889,Santander,Macaravita,0,1105,999,2104,156,357,803,445,295,48
137042,Santander,Málaga,13,10404,11268,21672,1472,3431,9506,4761,2137,352
137195,Santander,Matanza,2,2646,2389,5035,366,746,2006,1239,582,94
137348,Santander,Mogotes,3,5361,5286,10647,938,1930,4357,2157,1126,136
137501,Santander,Molagavita,1,2170,1936,4106,219,654,1610,991,560,71
137654,Santander,Ocamonte,2,3087,2723,5810,436,967,2383,1409,558,55
137807,Santander,Oiba,3,5601,5574,11175,787,1770,4665,2690,1088,172
137960,Santander,Onzaga,0,2137,1945,4082,257,624,1434,1021,638,108
138113,Santander,Palmar,0,719,688,1407,91,223,568,328,173,24
138266,Santander,Palmas del Socorro,0,1332,1294,2626,205,422,1051,612,289,47
138419,Santander,Páramo,0,2536,2333,4869,431,817,2188,983,402,48
138572,Santander,Piedecuesta,88,88820,94139,182959,13625,27394,87846,39114,13329,1563
138725,Santander,Pinchote,2,2767,2618,5385,355,786,2300,1274,579,89
138878,Santander,Puente Nacional,4,7404,7440,14844,804,2161,5427,3735,2332,381
139031,Santander,Puerto Parra,2,4117,3900,8017,895,1593,3535,1474,462,56
139184,Santander,Puerto Wilches,10,17617,16589,34206,3489,6733,15181,6403,2111,279
139337,Santander,Rionegro,5,14273,12789,27062,2270,4570,11586,5995,2354,282
139490,Santander,Sabana de Torres,9,17515,17041,34556,3585,6644,16079,6072,1954,213
139643,Santander,San Andrés,1,4498,4098,8596,574,1278,3253,2116,1194,180
139796,Santander,San Benito,0,1603,1369,2972,179,411,1194,767,347,74
139949,Santander,San Gil,11,28627,31043,59670,4270,8633,27109,13432,5502,713
140102,Santander,San Joaquín,0,1144,1064,2208,158,376,817,499,319,39
140255,Santander,San José de Miranda,1,2223,2066,4289,259,644,1742,967,582,94
140408,Santander,San Miguel,0,1327,1151,2478,190,396,975,558,320,39
140561,Santander,San Vicente de Chucurí,10,17532,16061,33593,2584,5704,14986,7236,2790,283
140714,Santander,Santa Bárbara,0,1328,1120,2448,183,374,1062,544,257,28
140867,Santander,Santa Helena del Opón,0,1791,1620,3411,285,644,1518,708,229,27
141020,Santander,Simacota,2,5456,4770,10226,809,1796,4256,2333,912,118
141173,Santander,Socorro,23,16091,17537,33628,2090,4738,15314,7711,3274,478
141326,Santander,Suaita,3,5133,5025,10158,674,1514,3779,2594,1389,205
141479,Santander,Sucre,2,3627,3437,7064,480,1167,2669,1756,832,158
141632,Santander,Suratá,0,2055,1932,3987,333,614,1603,935,435,67
141785,Santander,Tona,2,4118,3600,7718,654,1309,3413,1648,615,77
141938,Santander,Valle de San José,2,3203,3133,6336,474,1031,2724,1427,607,71
142091,Santander,Vélez,16,13154,12065,25219,1279,3291,11433,5821,2918,461
142244,Santander,Vetas,0,1100,1068,2168,154,351,947,487,201,28
142397,Santander,Villanueva,2,3920,4062,7982,547,1205,3131,1991,969,137
142550,Santander,Zapatoca,2,4656,4910,9566,745,1539,3589,2266,1246,179
142703,Sucre,Sincelejo,125,142123,151828,293951,24172,49544,138472,57909,21203,2526
142856,Sucre,Buenavista,2,5484,5480,10964,988,2017,4723,2262,856,116
143009,Sucre,Caimito,4,8311,7717,16028,1376,3029,7348,2901,1205,165
143162,Sucre,Coloso,12,4575,4157,8732,755,1535,3727,1748,822,133
143315,Sucre,Corozal,27,34873,35980,70853,5449,11641,32064,14759,6149,764
143468,Sucre,Coveñas,6,11008,8508,19516,1529,3087,10746,3113,908,127
143621,Sucre,Chalán,0,2462,2142,4604,352,824,2036,922,402,68
143774,Sucre,El Roble,4,5371,5068,10439,908,1916,4455,2062,971,123
143927,Sucre,Galeras,10,11872,11366,23238,2165,4459,10250,4260,1842,252
144080,Sucre,Guaranda,6,9609,8992,18601,1980,3851,8033,3300,1259,172
144233,Sucre,La Unión,4,6737,6257,12994,1025,2282,5658,2626,1214,185
144386,Sucre,Los Palmitos,9,12130,11754,23884,2125,4123,10360,4925,2071,271
144539,Sucre,Majagual,18,19856,18450,38306,3785,7443,16366,7156,3110,428
144692,Sucre,Morroa,8,7934,7924,15858,1447,2781,7237,3078,1146,161
144845,Sucre,Ovejas,9,12049,11387,23436,1924,3973,10249,4735,2269,277
144998,Sucre,Palmito,8,7768,7288,15056,1472,2984,7149,2324,966,153
145151,Sucre,Sampués,18,24695,24124,48819,4587,9063,22848,8542,3339,422
145304,Sucre,San Benito Abad,20,15576,14198,29774,2636,5689,13315,5533,2306,275
145457,Sucre,San Juan de Betulia,8,7258,6933,14191,1038,2316,6103,3307,1262,157
145610,Sucre,San Marcos,40,30172,30394,60566,5634,11838,26427,11131,4829,667
145763,Sucre,San Onofre,20,25965,25144,51109,5105,10797,21560,9162,3923,542
145916,Sucre,San Pedro,6,9671,9539,19210,1626,3362,8061,4126,1810,219
146069,Sucre,San Luis de Sincé,14,16088,15815,31903,2576,5398,13380,6937,3077,521
146222,Sucre,Sucre,14,16551,14263,30814,2853,5599,12553,6336,3049,410
146375,Sucre,Santiago de Tolú,11,16769,17348,34117,3292,6653,15228,6373,2263,297
146528,Sucre,Tolú Viejo,14,11304,10985,22289,1888,3977,9981,4311,1847,271
146681,Tolima,Ibagué,242,258275,282826,541101,31632,72847,248757,124789,55928,6906
146834,Tolima,Alpujarra,0,2300,2158,4458,272,684,1561,1189,633,119
146987,Tolima,Alvarado,4,4447,4268,8715,621,1348,3519,2093,993,137
147140,Tolima,Ambalema,2,3340,3221,6561,427,1000,2504,1675,855,98
147293,Tolima,Anzoátegui,2,5237,4769,10006,828,1896,4251,2164,783,82
147446,Tolima,Armero,4,6126,5912,12038,761,1750,4598,3176,1572,177
147599,Tolima,Ataco,6,10020,9097,19117,1933,3950,7831,3616,1565,216
147752,Tolima,Cajamarca,4,9516,8926,18442,1468,3030,8052,4051,1640,197
147905,Tolima,Carmen de Apicalá,2,5223,5225,10448,653,1513,4437,2523,1167,153
148058,Tolima,Casabianca,2,3374,2923,6297,509,1095,2518,1493,608,72
148211,Tolima,Chaparral,11,25889,24852,50741,4306,9340,21614,10137,4677,656
148364,Tolima,Coello,2,4211,4109,8320,582,1305,3204,1939,1135,153
148517,Tolima,Coyaima,7,11472,11018,22490,1891,4166,8355,4777,2911,383
148670,Tolima,Cunday,2,4369,4003,8372,598,1381,2847,2117,1280,147
148823,Tolima,Dolores,2,4245,3940,8185,571,1270,3048,2059,1062,173
148976,Tolima,Espinal,53,34855,36160,71015,4396,9908,30868,17314,7545,931
149129,Tolima,Falan,2,3834,3552,7386,513,1190,2713,1888,957,123
149282,Tolima,Flandes,8,14081,14534,28615,1943,4213,11976,6967,3205,303
149435,Tolima,Fresno,10,16007,15184,31191,2161,4997,13236,7343,3068,376
149588,Tolima,Guamo,10,16235,16537,32772,2117,4857,12552,8169,4493,574
149741,Tolima,Herveo,2,3703,3510,7213,493,1189,2886,1815,747,81
149894,Tolima,Honda,10,12032,12510,24542,1372,3200,9792,6322,3410,436
150047,Tolima,Icononzo,4,6180,5713,11893,842,1861,4460,2814,1680,232
150200,Tolima,Lérida,8,9126,9491,18617,1252,2718,7352,4709,2285,293
150353,Tolima,Líbano,23,17873,18358,36231,2250,5440,13866,9225,4785,642
150506,Tolima,Mariquita,12,18835,19498,38333,2574,5780,16219,9060,4189,499
150659,Tolima,Melgar,20,19042,18640,37682,2713,5618,18306,7782,2900,343
150812,Tolima,Murillo,0,2235,1908,4143,336,784,1740,901,357,25
150965,Tolima,Natagaima,10,7322,7350,14672,876,2158,5302,3693,2289,344
151118,Tolima,Ortega,24,17783,16537,34320,2929,6302,14051,6618,3814,582
151271,Tolima,Palocabildo,2,5073,4741,9814,828,1746,3878,2244,992,124
151424,Tolima,Piedras,2,3540,3221,6761,419,981,2860,1579,786,134
151577,Tolima,Planadas,7,13390,12409,25799,2856,5550,11387,4336,1491,172
151730,Tolima,Prado,4,4331,4084,8415,632,1348,3134,2133,1033,131
151883,Tolima,Purificación,9,11656,11882,23538,1643,3454,9025,5930,3023,454
152036,Tolima,Rioblanco,7,11879,10738,22617,2663,4990,9632,3833,1332,160
152189,Tolima,Roncesvalles,2,2903,2576,5479,470,1058,2391,1116,400,42
152342,Tolima,Rovira,10,11048,10443,21491,1740,4016,8981,4399,2031,314
152495,Tolima,Saldaña,4,7110,7363,14473,961,2224,5831,3533,1680,240
152648,Tolima,San Antonio,4,6576,5994,12570,1095,2448,5154,2559,1107,203
152801,Tolima,San Luis,16,6852,6599,13451,833,2018,4929,3352,2001,302
152954,Tolima,Santa Isabel,2,3010,2663,5673,434,1019,2310,1290,544,74
153107,Tolima,Suárez,0,1947,1825,3772,229,492,1432,950,583,86
153260,Tolima,Valle de San Juan,0,2731,2629,5360,356,866,1986,1286,751,115
153413,Tolima,Venadillo,4,6526,6197,12723,879,2016,4870,3115,1623,216
153566,Tolima,Villahermosa,5,4800,4386,9186,757,1605,3601,2228,906,84
153719,Tolima,Villarrica,2,2619,2341,4960,376,751,1718,1240,766,107
153872,Valle del Cauca,Cali,1460,1050869,1201747,2252616,157990,321059,1004010,513684,224825,29588
154025,Valle del Cauca,Alcalá,2,7192,7103,14295,1089,2383,5760,3330,1571,160
154178,Valle del Cauca,Andalucía,9,10933,11661,22594,1662,3537,9218,5309,2520,339
154331,Valle del Cauca,Ansermanuevo,4,8737,8579,17316,1512,3097,6957,3897,1679,170
154484,Valle del Cauca,Argelia,0,2732,2445,5177,391,956,1943,1263,574,50
154637,Valle del Cauca,Bolívar,11,7885,7829,15714,1381,2835,6010,3411,1806,260
154790,Valle del Cauca,Buenaventura,128,148113,163714,311827,36983,70340,137068,48513,17122,1673
154943,Valle del Cauca,Guadalajara de Buga,71,61664,67281,128945,9330,19391,54459,30037,13932,1725
155096,Valle del Cauca,Bugalagrande,10,12055,12410,24465,1688,3845,9964,5818,2788,352
155249,Valle del Cauca,Caicedonia,14,14139,14382,28521,1898,4361,11400,7034,3361,453
155402,Valle del Cauca,Calima,12,9097,9169,18266,1315,2946,7655,4293,1836,209
155555,Valle del Cauca,Candelaria,41,45630,48581,94211,8098,16026,42227,19753,7242,824
155708,Valle del Cauca,Cartago,33,63976,73326,137302,8991,20033,57777,32353,16281,1834
155861,Valle del Cauca,Dagua,13,24675,24340,49015,3970,8280,20007,10699,5452,594
156014,Valle del Cauca,El Águila,2,4482,4080,8562,699,1582,3265,2083,856,75
156167,Valle del Cauca,El Cairo,1,3500,3006,6506,545,1135,2445,1568,743,69
156320,Valle del Cauca,El Cerrito,26,27407,29726,57133,4331,9105,24365,13072,5599,635
156473,Valle del Cauca,El Dovio,4,4213,4403,8616,811,1654,3400,1799,846,102
156626,Valle del Cauca,Florida,28,28145,29816,57961,4617,9907,25602,11961,5245,601
156779,Valle del Cauca,Ginebra,13,11371,11675,23046,1600,3655,9696,5266,2519,297
156932,Valle del Cauca,Guacarí,12,16240,17338,33578,2615,5544,14081,7688,3197,441
157085,Valle del Cauca,Jamundí,110,81026,86121,167147,12481,26403,76643,36675,13237,1598
157238,Valle del Cauca,La Cumbre,14,8369,8140,16509,1031,2343,6199,4193,2396,333
157391,Valle del Cauca,La Unión,11,16261,18232,34493,2463,5549,14240,8237,3608,385
157544,Valle del Cauca,La Victoria,42,5616,6251,11867,764,1736,4279,3141,1652,253
157697,Valle del Cauca,Obando,2,5924,6118,12042,920,2037,4763,2807,1367,146
157850,Valle del Cauca,Palmira,306,169249,185036,354285,25653,52138,153641,81149,36708,4690
158003,Valle del Cauca,Pradera,19,23073,25092,48165,3721,8532,21342,9594,4392,565
158156,Valle del Cauca,Restrepo,4,7580,7724,15304,1218,2567,6333,3399,1583,200
158309,Valle del Cauca,Riofrío,4,7692,7771,15463,1261,2633,6098,3661,1610,196
158462,Valle del Cauca,Roldanillo,19,17433,19353,36786,2491,5728,14851,8943,4230,524
158615,Valle del Cauca,San Pedro,4,8494,8707,17201,1349,2863,7266,3861,1656,202
158768,Valle del Cauca,Sevilla,19,20363,20790,41153,2641,6265,16138,10118,5347,625
158921,Valle del Cauca,Toro,4,6927,7462,14389,1066,2524,5497,3412,1709,177
159074,Valle del Cauca,Trujillo,4,9523,9459,18982,1515,3444,7305,4376,2086,252
159227,Valle del Cauca,Tuluá,96,103689,115123,218812,15745,34537,94235,49599,21970,2630
159380,Valle del Cauca,Ulloa,0,2792,2589,5381,413,907,2129,1262,607,63
159533,Valle del Cauca,Versalles,3,3404,3546,6950,512,1102,2609,1762,868,94
159686,Valle del Cauca,Vijes,4,6535,6349,12884,937,1998,5258,2954,1517,216
159839,Valle del Cauca,Yotoco,4,8106,8091,16197,1179,2586,6747,3752,1724,205
159992,Valle del Cauca,Yumbo,55,53232,56837,110069,8378,17710,50158,23669,8949,1150
160145,Valle del Cauca,Zarzal,19,20075,22332,42407,3190,7021,18170,9289,4215,503
160298,Arauca,Arauca,17,48097,48717,96814,8925,16772,48651,17179,4735,535
160451,Arauca,Arauquita,9,29272,26937,56209,6178,11409,26656,8754,2838,365
160604,Arauca,Cravo Norte,0,2162,1981,4143,428,701,1914,777,276,47
160757,Arauca,Fortul,2,10054,10094,20148,2257,4189,9638,2946,961,155
160910,Arauca,Puerto Rondón,0,2542,2377,4919,490,887,2325,872,306,39
161063,Arauca,Saravena,13,30863,32141,63004,6303,11912,30613,10169,3540,454
161216,Arauca,Tame,11,24622,24347,48969,5311,9848,23293,7778,2396,332
161369,Casanare,Yopal,15,87865,89823,177688,15132,29569,92492,32105,7733,642
161522,Casanare,Aguazul,5,19025,18985,38010,3327,6610,18594,7211,2071,192
161675,Casanare,Chámeza,0,1368,1266,2634,238,482,1207,517,171,19
161828,Casanare,Hato Corozal,1,6318,5790,12108,1348,2729,5356,1939,654,81
161981,Casanare,La Salina,0,740,629,1369,125,303,659,181,91,10
162134,Casanare,Maní,1,9130,8333,17463,1710,3177,8178,3309,980,108
162287,Casanare,Monterrey,3,8943,9066,18009,1616,3103,8436,3612,1120,119
162440,Casanare,Nunchía,0,4686,4027,8713,859,1567,3890,1736,600,61
162593,Casanare,Orocué,1,6499,6153,12652,1411,2816,5626,2073,665,60
162746,Casanare,Paz de Ariporo,8,18952,18395,37347,3954,7355,17156,6479,2179,216
162899,Casanare,Pore,1,6180,5879,12059,1249,2432,5595,2013,684,85
163052,Casanare,Recetor,0,989,807,1796,157,271,785,417,150,16
163205,Casanare,Sabanalarga,0,1815,1754,3569,260,579,1593,783,316,38
163358,Casanare,Sácama,0,1048,1011,2059,211,378,992,338,132,8
163511,Casanare,San Luis de Palenque,0,4309,4037,8346,855,1603,3748,1551,542,47
163664,Casanare,Támara,0,3484,3083,6567,639,1402,2781,1191,489,65
163817,Casanare,Tauramena,3,12761,12412,25173,2327,4724,12474,4365,1174,106
163970,Casanare,Trinidad,1,6813,6636,13449,1479,2670,6163,2299,767,70
164123,Casanare,Villanueva,3,18293,17891,36184,3288,6433,17759,6631,1909,161
164276,Putumayo,Mocoa,12,28811,30127,58938,4710,9416,29797,10743,3774,486
164429,Putumayo,Colón,2,2634,2896,5530,492,851,2548,1084,488,65
164582,Putumayo,Orito,9,19277,19467,38744,3618,7520,18964,6261,2146,226
164735,Putumayo,Puerto Asís,19,33738,33473,67211,5685,12176,33896,11350,3678,407
164888,Putumayo,Puerto Caicedo,4,8307,7700,16007,1500,2808,7691,2905,966,133
